Secret,Prev TS Frame
48,9395.048516493744
49,9102.300540721282
50,10629.162568573322
51,9551.466897089202
52,8318.500807718634
53,7614.112118121226
54,8767.164461810771
55,7730.597879003161
56,8920.88624693943
57,8687.589589992185
65,9386.256608898302
66,8519.846529472301
67,7277.844698038888
68,8313.293101340398
69,8107.182859626093
70,10796.432910704601
71,9644.79244199405
72,8929.178882749879
73,8481.161967131242
74,8985.876155218895
75,8598.56539191961
76,7146.538911156453
77,7952.000374523387
78,8822.9687045506
79,7297.794516449445
80,9050.386081446704
81,10564.622324855423
82,7312.759404270438
83,9888.205228352086
84,8682.641525084431
85,27882.387243081354
86,9223.039586148388
87,9568.560501808182
88,8635.76896889644
89,9126.95232002499
90,8523.687336093775
